client_id,age,job,marital,education,balance,in_default,housing,loan,duration,campaign,pdays,previous,poutcome,y
4815378,58,management,married,tertiary,2143.0,no,yes,no,261,1,-1,0,unknown,unknown
5217541,44,technician,single,secondary,29.0,no,yes,no,151,1,-1,0,unknown,unknown
6654642,33,entrepreneur,married,secondary,2.0,no,yes,yes,76,1,-1,0,unknown,unknown
1421898,47,blue-collar,married,unknown,1506.0,no,yes,no,92,1,-1,0,unknown,unknown
2387933,33,unknown,single,unknown,1.0,no,no,no,198,1,-1,0,unknown,unknown
8013546,35,management,married,tertiary,231.0,no,yes,no,139,1,-1,0,unknown,unknown
2898340,28,management,single,tertiary,447.0,no,yes,yes,217,1,-1,0,unknown,unknown
5561468,42,entrepreneur,divorced,tertiary,2.0,yes,yes,no,380,1,-1,0,unknown,no
1704620,58,retired,married,primary,121.0,no,yes,no,50,1,-1,0,unknown,unknown
5203129,43,technician,single,secondary,593.0,no,yes,no,55,1,-1,0,unknown,no
1496150,41,admin.,divorced,secondary,270.0,no,yes,no,222,1,-1,0,unknown,unknown
3580639,29,admin.,single,secondary,390.0,no,yes,no,137,1,-1,0,unknown,unknown
6553611,53,technician,married,secondary,6.0,no,yes,no,517,1,-1,0,unknown,unknown
7642222,58,technician,married,unknown,71.0,no,yes,no,71,1,-1,0,unknown,unknown
6633578,57,services,married,secondary,162.0,no,yes,no,174,1,-1,0,unknown,no
2378810,51,retired,married,primary,229.0,no,yes,no,353,1,-1,0,unknown,unknown
8356673,45,admin.,single,unknown,13.0,no,yes,no,98,1,-1,0,unknown,unknown
5719656,57,blue-collar,married,primary,52.0,no,yes,no,38,1,-1,0,unknown,unknown
5068686,60,retired,married,primary,60.0,no,yes,no,219,1,-1,0,unknown,unknown
5174684,33,services,married,secondary,0.0,no,yes,no,54,1,-1,0,unknown,unknown
5580032,28,blue-collar,married,secondary,723.0,no,yes,yes,262,1,-1,0,unknown,unknown
5619407,56,management,married,tertiary,779.0,no,yes,no,164,1,-1,0,unknown,unknown
7230713,32,blue-collar,single,primary,23.0,no,yes,yes,160,1,-1,0,unknown,unknown
8862583,25,services,married,secondary,50.0,no,yes,no,342,1,-1,0,unknown,unknown
4581938,40,retired,married,primary,0.0,no,yes,yes,181,1,-1,0,unknown,unknown
2159109,44,admin.,married,secondary,-372.0,no,yes,no,172,1,-1,0,unknown,unknown
7324456,39,management,single,tertiary,255.0,no,yes,no,296,1,-1,0,unknown,unknown
3061933,52,entrepreneur,married,secondary,113.0,no,yes,yes,127,1,-1,0,unknown,unknown
8773142,46,management,single,secondary,-246.0,no,yes,no,255,2,-1,0,unknown,unknown
9348307,36,technician,single,secondary,265.0,no,yes,yes,348,1,-1,0,unknown,unknown
9718018,57,technician,married,secondary,839.0,no,no,yes,225,1,-1,0,unknown,no
2886298,49,management,married,tertiary,378.0,no,yes,no,230,1,-1,0,unknown,unknown
1231065,60,admin.,married,secondary,39.0,no,yes,yes,208,1,-1,0,unknown,unknown
1174906,59,blue-collar,married,secondary,0.0,no,yes,no,226,1,-1,0,unknown,no
1026071,51,management,married,tertiary,10635.0,no,yes,no,336,1,-1,0,unknown,unknown
1976112,57,technician,divorced,secondary,63.0,no,yes,no,242,1,-1,0,unknown,no
2612259,25,blue-collar,married,secondary,-7.0,no,yes,no,365,1,-1,0,unknown,unknown
9030024,53,technician,married,secondary,-3.0,no,no,no,1666,1,-1,0,unknown,unknown
5160113,36,admin.,divorced,secondary,506.0,no,yes,no,577,1,-1,0,unknown,unknown
4170721,37,admin.,single,secondary,0.0,no,yes,no,137,1,-1,0,unknown,unknown
4874172,44,services,divorced,secondary,2586.0,no,yes,no,160,1,-1,0,unknown,unknown
5163431,50,management,married,secondary,49.0,no,yes,no,180,2,-1,0,unknown,unknown
8887000,60,blue-collar,married,unknown,104.0,no,yes,no,22,1,-1,0,unknown,no
3746685,54,retired,married,secondary,529.0,no,yes,no,1492,1,-1,0,unknown,unknown
6056906,58,retired,married,unknown,96.0,no,yes,no,616,1,-1,0,unknown,unknown
6534712,36,admin.,single,primary,-171.0,no,yes,no,242,1,-1,0,unknown,unknown
2098577,58,self-employed,married,tertiary,-364.0,no,yes,no,355,1,-1,0,unknown,unknown
3503523,44,technician,married,secondary,0.0,no,yes,no,225,2,-1,0,unknown,unknown
3614351,55,technician,divorced,secondary,0.0,no,no,no,160,1,-1,0,unknown,unknown
2106650,29,management,single,tertiary,0.0,no,yes,no,363,1,-1,0,unknown,unknown
7113403,54,blue-collar,married,secondary,1291.0,no,yes,no,266,1,-1,0,unknown,no
7490935,48,management,divorced,tertiary,-244.0,no,yes,no,253,1,-1,0,unknown,unknown
2989140,32,management,married,tertiary,0.0,no,yes,no,179,1,-1,0,unknown,unknown
2717329,42,admin.,single,secondary,-76.0,no,yes,no,787,1,-1,0,unknown,unknown
3769643,24,technician,single,secondary,-103.0,no,yes,yes,145,1,-1,0,unknown,unknown
6817993,38,entrepreneur,single,tertiary,243.0,no,no,yes,174,1,-1,0,unknown,unknown
6343078,38,management,single,tertiary,424.0,no,yes,no,104,1,-1,0,unknown,unknown
5022773,47,blue-collar,married,unknown,306.0,no,yes,no,13,1,-1,0,unknown,unknown
7212616,40,blue-collar,single,unknown,24.0,no,yes,no,185,1,-1,0,unknown,unknown
